epoch,learning_rate,next_learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_mae,val_rmse,train_acc_at_0p10m,val_acc_at_0p10m,train_acc_at_0p25m,val_acc_at_0p25m,train_acc_at_0p50m,val_acc_at_0p50m,train_distance_loss,train_orientation_loss,val_distance_loss,val_orientation_loss,val_yaw_acc@10deg,val_yaw_acc@15deg,val_yaw_acc@5deg,val_yaw_mean_error_deg,val_yaw_median_error_deg,val_yaw_p95_error_deg,val_yaw_pred_norm_mean,val_yaw_pred_norm_p05,val_yaw_pred_norm_p50,val_yaw_pred_norm_p95
1,0.001,0.001,0.05159262353505939,0.76312,0.0021035217802389526,0.9763833333333334,0.03234823793172836,0.046629924327135086,0.76312,0.9763833333333334,0.96278,0.9995833333333334,0.9953066666666667,0.9998833333333333,0.007264542156152602,0.044328081384482985,0.0010236679673345254,0.0010798538170395963,0.9965166666666667,0.9989333333333333,0.9264833333333333,2.2901570796966553,1.83148193359375,5.518128395080566,0.9916828274726868,0.9569591879844666,0.9928747415542603,1.024686336517334
2,0.001,0.001,0.003403241856064803,0.9330266666666667,0.00301538027736824,0.9327666666666666,0.05094577744603157,0.06313754618167877,0.9330266666666667,0.9327666666666666,0.99782,0.9992666666666666,0.9997833333333334,0.99975,0.0015837544222999228,0.001819487433593992,0.001943386012701861,0.0010719942634391676,0.99515,0.9985833333333334,0.91925,2.2992348670959473,1.7935714721679688,5.74105167388916,0.9866315722465515,0.9428184628486633,0.9896323680877686,1.0267364978790283
3,0.001,0.001,0.0027922593898392126,0.95235,0.0017994823422321738,0.9684,0.03131946176290512,0.046794794499874115,0.95235,0.9684,0.9985966666666667,0.99855,0.9998566666666666,0.9999,0.001280286617688204,0.00151197277214999,0.0010609374099559016,0.000738544932611209,0.9987833333333334,0.9991333333333333,0.9716166666666667,1.8914393186569214,1.5438003540039062,4.420726776123047,0.99806147813797,0.9709605574607849,0.9980840682983398,1.026613473892212
4,0.001,0.001,0.0024935235654679126,0.9594,0.0015715743692824617,0.9913333333333333,0.026472866535186768,0.039392195641994476,0.9594,0.9913333333333333,0.9989333333333333,0.9997166666666667,0.99987,0.9998666666666667,0.0011658657612858708,0.0013276578033347807,0.0007231246978602334,0.000848449674071162,0.9986666666666667,0.9990833333333333,0.95905,1.8929033279418945,1.4512939453125,4.743797302246094,0.999184250831604,0.9701318740844727,0.9998422861099243,1.0287892818450928
5,0.001,0.001,0.002345472373914284,0.9674266666666667,0.0017432642375080226,0.98485,0.03550390526652336,0.04659968614578247,0.9674266666666667,0.98485,0.9991466666666666,0.9996166666666667,0.99985,0.9998833333333333,0.0010560267175649157,0.0012894456568643606,0.0010480838535848306,0.0006951803799859287,0.9990333333333333,0.9992666666666666,0.9793,1.6833230257034302,1.313629150390625,4.100038051605225,0.9981157183647156,0.9736927151679993,0.9977784156799316,1.0247364044189453
6,0.001,0.0005,0.0020893571533992265,0.9702733333333333,0.0022161529417537773,0.9944666666666667,0.029692871496081352,0.040543291717767715,0.9702733333333333,0.9944666666666667,0.99933,0.9996666666666667,0.99987,0.99985,0.0009853357835811038,0.0011040213699903688,0.0007885367841251233,0.0014276161542724974,0.9963666666666666,0.9993,0.8280666666666666,2.9393954277038574,2.4325180053710938,6.864584922790527,1.003117561340332,0.9596438407897949,1.0037598609924316,1.0420844554901123
7,0.0005,0.0005,0.0012438891552345982,0.993,0.001127227237469439,0.9939833333333333,0.02094608172774315,0.03383880853652954,0.993,0.9939833333333333,0.9996566666666666,0.9996166666666667,0.9999066666666667,0.9998333333333334,0.0005498542565705672,0.0006940349000368345,0.0005258169991994994,0.0006014102384680882,0.9989833333333333,0.9992333333333333,0.9872833333333333,1.5133148431777954,1.1810073852539062,3.5970962047576904,0.9955618381500244,0.972222089767456,0.9965002536773682,1.018256664276123
8,0.0005,0.0005,0.0012655778234640213,0.9919133333333333,0.0009735619350957373,0.9983333333333333,0.01937933824956417,0.02992469258606434,0.9919133333333333,0.9983333333333333,0.9995966666666667,0.99975,0.99989,0.9998833333333333,0.0005713728907207163,0.0006942049330063552,0.00041873968154432077,0.0005548222521611024,0.99905,0.9991666666666666,0.9913333333333333,1.4502235651016235,1.1326446533203125,3.4488091468811035,0.995978832244873,0.9728257656097412,0.9971182942390442,1.018765926361084
9,0.0005,0.0005,0.0013081639810247968,0.9920966666666666,0.0011163423230910363,0.9958,0.021234728395938873,0.03240438178181648,0.9920966666666666,0.9958,0.9996533333333333,0.9997333333333334,0.99989,0.9999,0.0005596804481976627,0.0007484835324016361,0.0004953391296798752,0.0006210031941877484,0.99895,0.9990333333333333,0.9888166666666667,1.632232666015625,1.336761474609375,3.7005088329315186,1.0012106895446777,0.9800190925598145,1.0013468265533447,1.0238878726959229
10,0.0005,0.00025,0.0013002675324563946,0.9918566666666667,0.0010518922134389868,0.9965166666666667,0.020146630704402924,0.03175985440611839,0.9918566666666667,0.9965166666666667,0.9995566666666666,0.9997,0.9998933333333333,0.9998666666666667,0.0005670517986124468,0.0007332157354106797,0.00047266900053533994,0.00057922321382066,0.9986833333333334,0.9990833333333333,0.9843666666666666,1.5850566625595093,1.23681640625,3.7929635047912598,1.0003150701522827,0.9763529300689697,1.0020071268081665,1.0231693983078003
11,0.00025,0.00025,0.0008990365781252816,0.9974066666666667,0.0008476360179852539,0.9988333333333334,0.019167369231581688,0.02876373752951622,0.9974066666666667,0.9988333333333334,0.9997366666666667,0.9997166666666667,0.9999066666666667,0.9999,0.0003725541915082795,0.0005264823867125475,0.0003917260935998153,0.0004559099233883899,0.9991166666666667,0.9991666666666666,0.9964333333333333,1.2746341228485107,1.00543212890625,2.9587814807891846,0.9962856769561768,0.9797831177711487,0.9961498975753784,1.0171833038330078
12,0.00025,0.00025,0.0008844428932664838,0.99767,0.0009775426153462224,0.9978166666666667,0.01807030476629734,0.02993771992623806,0.99767,0.9978166666666667,0.9997066666666666,0.9991833333333333,0.9999233333333334,0.99965,0.0003608451674883933,0.0005235977253417271,0.0004305792870953155,0.0005469633278626134,0.9990833333333333,0.99925,0.9963666666666666,1.1294053792953491,0.8480682373046875,2.6998298168182373,0.9991349577903748,0.9809138774871826,0.9993714094161987,1.0175793170928955
13,0.00025,0.00025,0.0008756012861380198,0.99767,0.0007426364044319295,0.9979166666666667,0.015856292098760605,0.02696217969059944,0.99767,0.9979166666666667,0.9997066666666666,0.9997166666666667,0.9999266666666666,0.9999,0.0003562618938403951,0.0005193393921810881,0.00033235018685809337,0.0004102862161720016,0.9991666666666666,0.9992833333333333,0.9971166666666667,1.1167850494384766,0.8465118408203125,2.667682647705078,0.998013436794281,0.9822655320167542,0.9985547661781311,1.0147069692611694
14,0.00025,0.00025,0.0008702624900027877,0.9974366666666666,0.0008486129653572182,0.9981333333333333,0.01710016466677189,0.027628129348158836,0.9974366666666666,0.9981333333333333,0.9997066666666666,0.9993,0.9999233333333334,0.99985,0.0003673042829901533,0.0005029582068334275,0.00036594041338927733,0.00048267255027312786,0.9991666666666666,0.9992333333333333,0.9959333333333333,1.1704280376434326,0.888275146484375,2.8098251819610596,1.0000556707382202,0.9818731546401978,1.0004534721374512,1.0182428359985352
15,0.00025,0.000125,0.0008590822522268475,0.9973666666666666,0.0008513215314305853,0.9983166666666666,0.01744224689900875,0.02799554541707039,0.9973666666666666,0.9983166666666666,0.99971,0.9993333333333333,0.99991,0.9998666666666667,0.0003632368054813196,0.0004958454466421002,0.0003752310525627157,0.00047609047840426984,0.9991666666666666,0.9992,0.9967333333333334,1.2602683305740356,0.9972610473632812,2.919435977935791,0.9978622198104858,0.9804691672325134,0.998613715171814,1.0149199962615967
16,0.000125,0.000125,0.0006711368517549514,0.9988333333333334,0.0006380088364239782,0.9990666666666667,0.014845225028693676,0.0241201501339674,0.9988333333333334,0.9990666666666667,0.99973,0.9997833333333334,0.9999333333333333,0.9999166666666667,0.0002689513749410253,0.00040218547705519694,0.0002736477475584252,0.00036436109030546504,0.9991166666666667,0.9991666666666666,0.9979333333333333,1.032462239265442,0.7800521850585938,2.436624050140381,0.9981964230537415,0.9830125570297241,0.9988370537757874,1.0158159732818604
17,0.000125,0.000125,0.0006663438890117686,0.9988133333333333,0.0006822957942960784,0.9992333333333333,0.016279997304081917,0.025648614391684532,0.9988133333333333,0.9992333333333333,0.99972,0.9997333333333334,0.9999166666666667,0.9999,0.0002663370504362198,0.00040000683919771594,0.00030878758304485625,0.00037350821184348507,0.9991166666666667,0.99915,0.99835,1.0307996273040771,0.78387451171875,2.3771424293518066,0.9962787628173828,0.9796545505523682,0.9974539875984192,1.013311743736267
18,0.000125,6.25e-05,0.0006503783502194953,0.9988833333333333,0.000722364545702779,0.99775,0.015211280435323715,0.025083603337407112,0.9988833333333333,0.99775,0.9997433333333333,0.9998,0.9999433333333333,0.9999166666666667,0.00025730752264184654,0.00039307082698299687,0.0002942687998009205,0.00042809574630991846,0.9990333333333333,0.9992166666666666,0.99595,1.0511829853057861,0.7699813842773438,2.5924935340881348,0.999203622341156,0.9828070402145386,1.0002530813217163,1.0153461694717407
19,6.25e-05,6.25e-05,0.0005609855953997855,0.9991,0.0006476571121417995,0.99915,0.016220668330788612,0.02496175654232502,0.9991,0.99915,0.99975,0.9997666666666667,0.99995,0.9999166666666667,0.00020884543718190495,0.0003521401581755708,0.00029495467707274655,0.00035270243431344473,0.9992,0.99925,0.9984166666666666,0.9433644413948059,0.705413818359375,2.2190659046173096,0.9981181621551514,0.9844764471054077,0.998736560344696,1.0137666463851929
